"Ausgangsjahr","Gemeinde_BFS_Nr","Gemeindename","Stadtkreis_BFS_Nr","Stadtkreis_Name","Gesetz_Nummer","Gesetz_Abk","Reihenfolge_Haupttitel","Haupttitel","Straftaten_total","Straftaten_vollendet","Straftaten_versucht","Einwohner","Häufigkeitszahl"
2009,261,Zürich,2610006,Kreis 6,311.0,StGB,4,Total gegen sexuelle Integrität,33,33,0,30757,1.1
2009,261,Zürich,2610006,Kreis 6,311.0,StGB,5,Total übrige Titel StGB,84,83,1,30757,2.7
2009,261,Zürich,2610006,Kreis 6,812.121,BetmG,801,Total Übertretungen,438,,,30757,14.2
2009,261,Zürich,2610006,Kreis 6,812.121,BetmG,802,Total leichte Fälle,77,,,30757,2.5
2009,261,Zürich,2610006,Kreis 6,812.121,BetmG,803,Total schwere Fälle,45,,,30757,1.5
2009,261,Zürich,2610006,Kreis 6,142.20,AIG,1421,Total rechtswidrige Ein- / Ausreise / Aufenthalt,41,,,30757,1.3
2009,261,Zürich,2610006,Kreis 6,142.20,AIG,1422,Total illegale Erwerbstätigkeit oder Beschäftigung,23,,,30757,0.7
2009,261,Zürich,2610006,Kreis 6,142.20,AIG,1423,Total Täuschung der Behörden,1,,,30757,0
2009,261,Zürich,2610006,Kreis 6,142.20,AIG,1424,Total Förderung der rechtswidrigen Ein- / Ausreise / Aufenthalt,8,,,30757,0.3
2009,261,Zürich,2610006,Kreis 6,142.20,AIG,1425,Total weitere Widerhandlungen gegen AIG,12,,,30757,0.4
2009,261,Zürich,2610007,Kreis 7,311.0,StGB,1,Total gegen Leib und Leben,68,66,2,35240,1.9
2009,261,Zürich,2610007,Kreis 7,311.0,StGB,2,Total gegen das Vermögen,1953,1759,194,35240,55.4
2009,261,Zürich,2610007,Kreis 7,311.0,StGB,3,Total gegen die Freiheit,515,514,1,35240,14.6
2009,261,Zürich,2610007,Kreis 7,311.0,StGB,4,Total gegen sexuelle Integrität,12,12,0,35240,0.3
2009,261,Zürich,2610007,Kreis 7,311.0,StGB,5,Total übrige Titel StGB,48,47,1,35240,1.4
2009,261,Zürich,2610007,Kreis 7,812.121,BetmG,801,Total Übertretungen,49,,,35240,1.4
2009,261,Zürich,2610007,Kreis 7,812.121,BetmG,802,Total leichte Fälle,10,,,35240,0.3
2009,261,Zürich,2610007,Kreis 7,812.121,BetmG,803,Total schwere Fälle,13,,,35240,0.4
2009,261,Zürich,2610007,Kreis 7,142.20,AIG,1421,Total rechtswidrige Ein- / Ausreise / Aufenthalt,4,,,35240,0.1
2009,261,Zürich,2610007,Kreis 7,142.20,AIG,1422,Total illegale Erwerbstätigkeit oder Beschäftigung,4,,,35240,0.1
2009,261,Zürich,2610007,Kreis 7,142.20,AIG,1423,Total Täuschung der Behörden,0,,,35240,0
2009,261,Zürich,2610007,Kreis 7,142.20,AIG,1424,Total Förderung der rechtswidrigen Ein- / Ausreise / Aufenthalt,2,,,35240,0.1
2009,261,Zürich,2610007,Kreis 7,142.20,AIG,1425,Total weitere Widerhandlungen gegen AIG,3,,,35240,0.1
2009,261,Zürich,2610008,Kreis 8,311.0,StGB,1,Total gegen Leib und Leben,55,55,0,15315,3.6
2009,261,Zürich,2610008,Kreis 8,311.0,StGB,2,Total gegen das Vermögen,1818,1636,182,15315,118.7
2009,261,Zürich,2610008,Kreis 8,311.0,StGB,3,Total gegen die Freiheit,372,372,0,15315,24.3
2009,261,Zürich,2610008,Kreis 8,311.0,StGB,4,Total gegen sexuelle Integrität,11,10,1,15315,0.7
2009,261,Zürich,2610008,Kreis 8,311.0,StGB,5,Total übrige Titel StGB,112,111,1,15315,7.3
2009,261,Zürich,2610008,Kreis 8,812.121,BetmG,801,Total Übertretungen,261,,,15315,17
